Time,L_S,A,B,C,D,E
49809.41666663527,448.90276025174074,10.86602530513893,13.926038189518758,821.3546207068304,826.136838375399,833.9769639023226
49809.45833330193,448.92202235820645,10.965925775228786,14.582049923999444,829.6650638916514,832.2913045460404,840.3322357370149
49809.4999999686,448.94128446467215,10.99999999999998,14.97922261342955,838.0196121654791,838.9536466263205,847.1953834813459
49809.54166663526,448.96054657113785,10.965925877359577,15.10380117086875,849.0476797650132,847.3759206087292,855.8184631278053
49809.583333301925,448.97980867760356,10.866025502469572,14.960607298339418,863.3776184937731,857.7831652013181,866.426513384445
49809.62499996859,448.9990707840692,10.707106920741856,14.572482925088279,877.5661852962737,867.9036953605615,876.7478492077393
49809.666666635254,449.0183328905349,10.500000170962032,13.97850949812797,886.2120219407351,874.2644475019799,883.3094070132084
49809.70833330192,449.0375949970006,10.258819235776938,13.231128310094736,886.447557418838,875.2156130889878,884.4613782642672
49809.74999996858,449.0568571034663,10.000000197391413,12.392361813236182,880.5714425803349,872.696323036635,882.1428938759652
49809.79166663525,449.076119209932,9.741181145610215,11.52939693409769,874.256714690012,870.7786428531319,880.4260193565129
49809.83333330191,449.0953813163977,9.500000170980334,10.709834629673752,871.9342105508708,872.1224245811167,881.9706067485484
49809.874999968575,449.11464342286337,9.292893358452918,9.996932361167172,873.556698555088,875.6018378836285,885.6508257151111
49809.91666663524,449.13390552932907,9.133974694950945,9.445166275699247,875.5035688762064,877.3647899829238,887.6145834784572
49809.9583333019,449.1531676357948,9.034074224832802,9.09641770290033,874.3823575554198,874.3576554681276,884.8082546277119
49809.99999996857,449.1724297422605,9.00000000000002,8.977045574575582,869.8769642600563,867.0110715885068,877.6624764121418
49810.04166663523,449.19327234073285,9.0340741225939,9.0960455373876,864.0634171134757,858.6299061558522,869.5790709160959
49810.083333301896,449.21411494039756,9.133974497440553,9.444421971944289,858.348678862166,852.2019899050979,863.44891467509
49810.12499996856,449.2349575400622,9.292893079131042,9.995815971827069,851.5632773102274,847.719445311439,859.2641300911794
49810.166666635225,449.2558001397269,9.4999998288823,10.708346229152788,841.3880782081394,842.7595070943688,854.6019518838575
49810.20833330189,449.2766427393916,9.741180764049437,11.527536613402747,827.6679029065564,835.4331094960304,847.5733142952673
49810.24999996855,449.29748533905627,9.999999802428837,12.39012967391231,814.0215781492814,826.733786836507,839.1717516454922
49810.29166663522,449.318327938721,10.25881885421616,13.228524456276016,805.7439089190761,819.9825849680032,832.7183097867367
49810.33333330188,449.33917053838564,10.499999828863999,13.975534030678226,805.7466205351373,818.0022934893881,831.0357783178699
49810.374999968546,449.3600131380503,10.70710664141998,14.569135933673053,812.3942518953833,820.8569744723242,834.1882193105542
49810.41666663521,449.380855737715,10.86602530495918,14.956888855404053,821.3546206946969,826.3025653387567,839.9315701867351
49810.458333301875,449.4016983373797,10.965925775120676,15.099711326556273,829.6650638807561,832.2902894400005,846.2170542977273
49810.49999996854,449.42254093704435,10.99999999999998,14.974761392023227,838.0196121527218,838.8241625625557,853.0486874300307
49810.5416666352,449.44338353670906,10.965925877452623,14.577217322078084,849.0476797473864,847.2489452115072,861.7712300887306
49810.58333330187,449.4642261363737,10.866025502649322,13.920834176313118,863.3776184729915,857.8040005613202,872.6240454482918
49810.62499996853,449.48506873603844,10.70710692099606,13.037234389037932,877.5661852779283,868.171492147168,883.2892970438879
49810.666666635196,449.5059113357031,10.500000171273367,11.973976823790872,886.2120219345468,874.8039018579354,890.2194667644036
49810.70833330186,449.52675393536776,10.258819236124188,10.791532049382093,886.447557423806,875.9527208221064,891.6660457383229
49810.749999968524,449.5475965350325,10.00000019780912,9.55936627175565,880.5714425900844,873.4349325971401,889.4460175231048
49810.79166663519,449.56843913469714,9.741181145957464,8.351397282268739,874.2567146965063,871.231190101807,887.54003503752
49810.83333330185,449.5892817343618,9.50000017129167,7.241128849419267,871.9342105507916,872.0418926608845,888.6484976063458
49810.87499996852,449.6101243340265,9.292893358707122,6.296792191641789,873.5566985516423,874.9623421983874,891.8667071535971
49810.91666663518,449.6309669336912,9.133974695130695,5.57682305750774,875.503568875157,876.4409047908528,893.6430297558109
49810.958333301845,449.65180953335584,9.034074224925847,5.125980472568872,874.3823575596003,873.588458438683,891.0883434133892
49810.99999996851,449.67265213302056,9.00000000000002,4.972369920551749,869.8769642675469,866.7121717333756,884.5098167178302
49811.041666635174,449.69050563641076,9.034074122500854,5.125572572238813,864.0634171215374,858.7383518803655,875.9310043627199
49811.08333330184,449.70835913754183,9.133974497260803,5.576007285977324,858.3486788702086,852.4215654050148,869.0092247029969
49811.1249999685,449.72621263867296,9.292893078876839,6.29556860521438,851.5632773237305,847.8529409230416,863.8356070366514
49811.16666663517,449.7440661398041,9.499999828570965,7.2394975278968134,841.3880782249513,842.8189992564957,858.1966721857331
49811.20833330183,449.7619196409352,9.741180763702188,8.34935832370129,827.667902926542,835.529406821446,850.302086566311
49811.249999968495,449.77977314206635,9.99999980201113,9.556919785742782,814.0215781654535,826.9046344204257,841.0723209809184
49811.29166663516,449.7976266431975,10.258818853868911,10.788678150997473,805.7439089249131,820.1383321492455,833.7010255253658
49811.33333330182,449.8154801443286,10.499999828552662,11.970715624504518,805.7466205288353,818.0161447367832,830.9738449285312
49811.37499996849,449.83333364545973,10.707106641165776,13.033565990619369,812.3942518836474,820.6831887149922,833.0358957223679
49811.41666663515,449.85118714659086,10.86602530477943,13.916758664090379,821.3546206803971,826.0065460609762,837.7542598839796
49811.458333301816,449.86904064772193,10.96592577502763,14.5727347596323,829.6650638698607,831.9862413019956,843.1289619406267
49811.49999996848,449.88689414885306,10.99999999999998,14.969871817400945,838.0196121399647,838.6015406924779,849.1392681467366
49811.541666635145,449.9047476499842,10.965925877560734,15.094414750254412,849.0476797296561,847.1487776980673,857.0815119679537
